,Unnamed: 0,chembl_id,canonical_smiles,molecule,morgan,pred_activity,prob_activity0,prob_activity1,logP,HA,HD,MW,cluster
247,4064.0,CHEMBL2018765,CCN(CC)CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x2846044a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462d460>,True,0.20270534742921373,0.7972946525707865,4.895100000000004,6,1,418.90000000000015,1
259,1711.0,CHEMBL203936,COc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1OC4CCN(C)CC4,<rdkit.Chem.rdchem.Mol object at 0x2846049e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462d9a0>,True,0.2618089024473722,0.738191097552628,4.6475000000000035,6,1,416.8840000000003,1
288,1875.0,CHEMBL214631,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC4CCN(C)CC4,<rdkit.Chem.rdchem.Mol object at 0x284605690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462e650>,True,0.2657513945257687,0.7342486054742313,4.6475000000000035,6,1,416.8840000000003,1
291,1878.0,CHEMBL215786,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC4CCN(C)CC4,<rdkit.Chem.rdchem.Mol object at 0x2846057e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462e7a0>,True,0.2158079447395512,0.7841920552604493,4.895100000000004,6,1,430.91100000000034,1
309,4426.0,CHEMBL2333999,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCBr,<rdkit.Chem.rdchem.Mol object at 0x284605fc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462ef80>,True,0.20270534742921373,0.7972946525707865,4.948200000000003,5,1,426.6730000000002,1
310,4425.0,CHEMBL2334001,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCO,<rdkit.Chem.rdchem.Mol object at 0x284606030>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462eff0>,True,0.20760032724832592,0.7923996727516741,3.5456000000000025,6,2,363.7760000000002,1
326,363.0,CHEMBL24026,COc1cc2c(Nc3ccc(cc3F)C#N)ncnc2cc1OC\C=C\CN4CCCC4,<rdkit.Chem.rdchem.Mol object at 0x284606730>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462f6f0>,True,0.28538502285010753,0.7146149771498932,4.423580000000004,7,1,433.48700000000036,1
329,381.0,CHEMBL24137,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN4CCOCC4,<rdkit.Chem.rdchem.Mol object at 0x284606880>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462f840>,True,0.25036473645407276,0.7496352635459274,4.275600000000004,7,1,446.9100000000004,1
331,4543.0,CHEMBL2424664,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN4CC5(C4)CS(=O)(=O)C5,<rdkit.Chem.rdchem.Mol object at 0x284606960>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462f920>,True,0.21087940987339293,0.7891205901266073,3.2837000000000014,8,1,492.96000000000043,1
334,4542.0,CHEMBL2425088,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN4CC5(CCO5)C4,<rdkit.Chem.rdchem.Mol object at 0x284606ab0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x28462fa70>,True,0.2041522567013972,0.795847743298603,4.028000000000003,7,1,444.8940000000004,1
348,361.0,CHEMBL2448064,Cl.COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC4CCNCC4,<rdkit.Chem.rdchem.Mol object at 0x2846070d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284644120>,True,0.2576697260144667,0.7423302739855333,4.974700000000004,6,2,453.3450000000003,1
384,1877.0,CHEMBL276154,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC4CCN(C)CC4,<rdkit.Chem.rdchem.Mol object at 0x2845fc120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2846450e0>,True,0.22545744406472654,0.7745425559352739,4.6475000000000035,6,1,416.8840000000003,1
387,398.0,CHEMBL283088,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN4CCN(C)CC4,<rdkit.Chem.rdchem.Mol object at 0x2845fc270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284645230>,True,0.25204977162633374,0.7479502283736663,3.8007000000000035,7,1,445.9260000000004,1
389,434.0,CHEMBL286160,COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x2845fc350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284645310>,True,0.24951060362347086,0.7504893963765292,4.1997000000000035,6,1,377.80300000000017,1
399,4422.0,CHEMBL294034,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCn4ccnc4,<rdkit.Chem.rdchem.Mol object at 0x2845fc7b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284645770>,True,0.21929617687641884,0.7807038231235814,4.450000000000003,7,1,413.8400000000002,1
407,724.0,CHEMBL299893,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)CN(CCO)CCO,<rdkit.Chem.rdchem.Mol object at 0x2845fcb30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284645af0>,True,0.21130445668727585,0.7886955433127245,2.2008000000000005,9,4,480.9240000000004,1
463,4750.0,CHEMBL3219508,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1B(O)O,<rdkit.Chem.rdchem.Mol object at 0x2845fe3b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284647370>,True,0.22935606355016577,0.7706439364498345,1.8543000000000003,6,3,347.5420000000001,1
527,4981.0,CHEMBL3355887,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCn4c(C)ncc4[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x2845f0040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284639000>,True,0.213794099243505,0.7862059007564952,4.6666200000000035,9,1,472.8640000000003,1
718,1824.0,CHEMBL382638,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN4CCC[C@H]4C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x2845a5460>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284652420>,True,0.20529571827006932,0.7947042817299308,3.624200000000002,6,2,429.8830000000003,1
737,6073.0,CHEMBL3916927,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC4CN(C4)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x2845a5cb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284652c70>,True,0.20935860928520458,0.7906413907147959,3.9501000000000026,6,1,428.8510000000003,1
762,6121.0,CHEMBL3944702,COc1cc(Nc2ncnc3cc(OCC4CN(C)CCO4)c(OC)cc23)c(OC)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x2845a67a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284653760>,True,0.30730079332309035,0.6926992066769094,3.762000000000003,9,1,474.9450000000003,1
954,661.0,CHEMBL55794,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNC(C)C,<rdkit.Chem.rdchem.Mol object at 0x284557c30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284670c80>,True,0.20283095697152842,0.7971690430284718,4.551300000000003,6,2,404.8730000000002,1
955,690.0,CHEMBL56027,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNC(C)(CO)CO,<rdkit.Chem.rdchem.Mol object at 0x284557ca0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284670cf0>,True,0.20034484541204584,0.7996551545879543,2.886200000000001,8,4,450.8980000000003,1
962,658.0,CHEMBL56505,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN(CCO)CCO,<rdkit.Chem.rdchem.Mol object at 0x284618040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284671000>,True,0.20270534742921373,0.7972946525707865,2.8399000000000014,8,3,450.89800000000037,1
968,684.0,CHEMBL56912,COCCNCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x2846182e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2846712a0>,True,0.20065359501328586,0.7993464049867144,3.7893000000000017,7,2,420.8720000000001,1
972,719.0,CHEMBL57892,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x2846184a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284671460>,True,0.19972455318279167,0.8002754468172085,4.941400000000003,6,2,418.90000000000026,1
993,2967.0,CHEMBL596957,COc1cc2ncnc(NCc3ccc(Cl)c(F)c3)c2cc1OCCCCCCC(=O)NO,<rdkit.Chem.rdchem.Mol object at 0x284618dd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284671d90>,True,0.28797436093464607,0.7120256390653539,4.877700000000003,7,3,476.9360000000004,1
994,2951.0,CHEMBL597752,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCC(=O)NO,<rdkit.Chem.rdchem.Mol object at 0x284618e40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x284671e00>,True,0.21047318483885205,0.7895268151611482,3.8389000000000015,7,3,420.82800000000026,1
